FT	ID	AT	WT	ST
89	298	68	11	10
88	349	76	0	12
88	272	64	12	12
87	320	74	11	2
87	264	63	17	7
84	362	78	0	6
82	314	71	0	11
81	267	63	11	7
81	251	59	9	13
80	328	74	0	6
79	278	64	11	4
77	254	59	10	8
75	244	56	13	6
75	229	54	8	13
73	302	69	0	4
73	259	59	11	3
72	247	57	9	6
71	257	59	10	2
69	284	65	0	4
69	240	55	9	5
67	212	51	8	8
66	243	55	0	11
66	218	53	6	7
64	220	53	7	4
63	205	49	8	6
62	204	49	8	5
62	201	48	8	6
62	238	55	0	7
61	239	55	0	6
59	199	48	6	5
57	190	46	5	6
55	166	42	1	12
52	185	46	1	5
51	203	49	0	2
51	182	46	0	5
51	161	42	2	7
51	157	41	3	7
51	148	39	0	12
50	146	39	0	11
48	188	46	0	2
47	152	40	0	7
46	175	43	0	3
46	156	41	0	5
43	153	41	1	1
43	114	26	5	12
42	129	36	0	6
40	64	14	15	11
39	139	36	0	3
38	128	36	0	2
38	123	33	0	5
37	113	26	3	8
37	118	29	2	6
32	89	20	8	4
32	58	13	10	9
32	93	20	8	4
31	82	20	7	4
29	59	13	11	5
29	66	16	11	2
27	92	20	3	4
26	60	13	11	2
24	103	23	0	1
24	51	13	3	8
22	41	12	0	10
20	56	13	5	2
19	30	8	7	4
19	29	8	4	7
18	47	13	0	5
17	16	5	0	12
17	21	7	0	10
16	11	4	0	12
16	7	2	0	14
14	9	3	0	11
14	27	7	0	7
14	5	2	0	12
12	2	2	0	10
11	18	6	0	5
10	20	6	0	4
9	25	7	0	2
8	8	2	0	6
........................................................
........................................................
 Region D:
Orders: 0 [Norm:0, Froz:0, VIP:0]
MotorC: 14 [Norm:7, Froz:3, VIP:4]
Average Wait = 11.2353,	 Avg Serv = 6.85714




